fine value,/nmos0_U/D Y,/nmos1_U/D Y,/nmos2_U/D Y,/nmos3_U/D Y,/nmos4_U/D Y,/nmos5_U/D Y,/pmos0_U/S Y,/pmos1_U/S Y,/pmos2_U/S Y,/pmos3_U/S Y,/pmos4_U/S Y,/pmos5_U/S Y,/nmos_V<0> Y,/nmos_V<1> Y,/nmos_V<2> Y,/nmos_V<3> Y,/nmos_V<4> Y,/nmos_V<5> Y,/pmos_V<0> Y,/pmos_V<1> Y,/pmos_V<2> Y,/pmos_V<3> Y,/pmos_V<4> Y,/pmos_V<5> Y,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
255,7.176552812743838e-11,5.72772792402766e-10,4.56800860356774e-09,3.642206417141828e-08,2.903579581363862e-07,2.275910875570377e-06,6.691117075512138e-11,5.36282379793291e-10,4.300384988602986e-09,3.44487593864882e-08,2.774193559125061e-07,2.244864591390948e-06,0.2685428843662976,0.3484910169699909,0.4321913770030393,0.5240504967916949,0.6291123407521204,0.7711288802071247,1.462304199429087,1.384715364733201,1.302773172454135,1.212073687751158,1.105854076517957,0.944346977005178,,0.00%,,,0.00%
254,7.145955211760083e-11,5.701878472665513e-10,4.547466211601376e-09,3.625261744945212e-08,2.889549055082353e-07,2.26536723219228e-06,6.660913501330951e-11,5.339509250218977e-10,4.280991720381229e-09,3.429090727090708e-08,2.760745633274854e-07,2.234521403954173e-06,0.2683896651388076,0.3483205396837143,0.4320026724902892,0.5238316283121237,0.6288425147644002,0.7707083466704066,1.462450916158617,1.384884282489394,1.302958919164425,1.212286676604689,1.106134574453226,0.9448490312707361,,-0.04%,,,-0.07%
253,7.118045072999271e-11,5.678355972022557e-10,4.528016364202998e-09,3.609326951308052e-08,2.876597240022445e-07,2.255898881211333e-06,6.633004331739814e-11,5.316937272037902e-10,4.262615605754652e-09,3.414028967722678e-08,2.748145387879406e-07,2.225025364778604e-06,0.2682316044951175,0.3481525715205012,0.4318232527941964,0.5236249255673,0.6285924209927994,0.7703296201502557,1.462624568504085,1.385045313837825,1.303135662577899,1.21249076008432,1.106399726431292,0.94531286151334,,-0.03%,,,-0.10%
252,7.081253852196806e-11,5.653437591332489e-10,4.507482274924814e-09,3.592368234749868e-08,2.862556682534679e-07,2.245350215286157e-06,6.60297664994066e-11,5.293167080904992e-10,4.243247860852803e-09,3.397916457619459e-08,2.734708080480155e-07,2.214491926826767e-06,0.2680398617814905,0.3479803491287171,0.4316330311515749,0.5234039969566437,0.6283201954357863,0.7699064929358829,1.462772193788509,1.38521561557164,1.303322728672696,1.212710014866253,1.106682311688944,0.9458271632289487,,-0.16%,,,-0.17%
251,7.054364224207791e-11,5.628609538316634e-10,4.489701224966048e-09,3.578119569843102e-08,2.85140158474679e-07,2.237508109789307e-06,6.577946532547271e-11,5.272200447255072e-10,4.226459040937091e-09,3.384396147408625e-08,2.723794184815873e-07,2.20675460624068e-06,0.2678960713989986,0.3478163837702661,0.4314676433337877,0.5232176146705245,0.6281030853098329,0.7695910909879026,1.462928712166942,1.385364878636043,1.303485543264582,1.212894746928248,1.106913541655715,0.9462075241646571,,-0.14%,,,-0.13%
250,7.023124845691337e-11,5.606029044818486e-10,4.469172432710223e-09,3.561122587674462e-08,2.837364733831985e-07,2.226956324373536e-06,6.54785167194475e-11,5.248281065757406e-10,4.207078229100369e-09,3.368303959333818e-08,2.710401153455692e-07,2.196174231694697e-06,0.2677217128436014,0.3476509607678716,0.4312759182769756,0.5229943684328145,0.6278288351851655,0.7691656062671276,1.463080500969499,1.385536617208899,1.303674260188137,1.21311552073487,1.107197524356151,0.9467261329075441,,-0.19%,,,-0.20%
249,6.993023322617938e-11,5.581532146744106e-10,4.449731748717144e-09,3.545212791655309e-08,2.824413771808403e-07,2.217483261178613e-06,6.519935662509957e-11,5.226049618015077e-10,4.188703435303791e-09,3.353202667598804e-08,2.697811128003123e-07,2.186748373238982e-06,0.2675578078209097,0.3474798463115413,0.4310935786933399,0.5227844929530028,0.6275747512275884,0.768782500277847,1.463256139878066,1.385700333300459,1.303853945444466,1.21332359888331,1.107466506304166,0.9471911555094313,,-0.22%,,,-0.23%
248,6.960655811955633e-11,5.556644365240291e-10,4.429180915781958e-09,3.52822771729517e-08,2.810369032433951e-07,2.206927819275537e-06,6.491667731742036e-11,5.201534247022752e-10,4.169335928567935e-09,3.33712980453848e-08,2.684365080272363e-07,2.17621788177995e-06,0.2673821002476301,0.3473049294982305,0.4308999978369135,0.5225594540563877,0.6272980589316676,0.7683543939289826,1.463406769001864,1.385873556810326,1.304044150782148,1.213546028914004,1.107753624349541,0.9477104030607445,,-0.28%,,,-0.31%
247,6.939942704950768e-11,5.53647879196438e-10,4.415601532898298e-09,3.517175880240974e-08,2.802735684452369e-07,2.201812297646089e-06,6.469436737767423e-11,5.183839533915006e-10,4.155545729012855e-09,3.326676365311677e-08,2.676719309674054e-07,2.171167970506365e-06,0.2672678629829904,0.3471708289756968,0.4307716141917216,0.5224124786871124,0.6271471702619597,0.7681464331746345,1.463542078777926,1.386000907811083,1.304180094559898,1.213691230792436,1.107912761475887,0.9479613839836257,,-0.18%,,,-0.14%
246,6.907168205446517e-11,5.512719024646211e-10,4.395060218571187e-09,3.500209402765238e-08,2.788697756005809e-07,2.191253798404072e-06,6.438806457484078e-11,5.159586930843164e-10,4.136164511084473e-09,3.310510977326079e-08,2.663457920318214e-07,2.1607143027776e-06,0.2670887481460768,0.3469947680115477,0.4305766920282382,0.5221859996480727,0.6268687444204526,0.7677162452240898,1.463710733351871,1.386175568213599,1.304371880900317,1.213916615842116,1.108203395638641,0.9484785918017908,,-0.25%,,,-0.21%
